26,0,4
71,40,2
27,0,3
18,2,2
42,0,3
35,10,5
40,0,4
21,0,2
41,0,3
26,6,2
0,0,3
49,0,2
62,0,3
28,1,3
0,0,1
35,0,2
29,0,4
0,82,1
66,0,3
25,0,4
39,0,3
29,2,3
59,0,3
31,1,2
0,0,2
23,10,4
22,2,2
0,0,1
60,0,2
38,1,4
34,3,3
0,0,1
62,20,3
42,1,3
50,0,3
37,0,2
21,5,2
37,0,3
45,0,4
35,2,2
65,0,2
22,35,3
23,0,1
19,3,3
37,2,3
30,0,4
0,1,2
39,0,2
63,0,3
58,20,5
68,0,4
30,20,3
63,0,3
42,2,2
19,0,2
30,0,4
53,0,4
0,0,1
40,8,2
30,3,3
39,24,3
52,0,3
0,2,1
53,1,4
25,0,3
56,0,3
65,0,2
71,0,3
50,0,2
0,1,2
52,16,2
27,0,4
19,0,2
61,0,4
0,0,3
48,14,4
46,0,5
0,0,1
55,1,5
63,0,3
36,3,2
33,0,3
26,0,3
0,5,1
29,0,4
21,0,3
0,0,2
46,0,3
19,0,3
34,0,4
28,2,3
34,0,3
51,0,1
0,1,4
34,1,4
30,5,4
21,4,3
31,0,3
19,0,2
64,0,3
23,0,3
65,2,3
24,0,4
0,3,2
64,0,2
23,0,3
21,0,2
30,0,4
31,0,3
22,0,3
0,40,2
0,0,2
0,2,3
48,0,4
43,0,3
30,0,4
30,0,3
20,2,2
24,0,4
0,0,1
42,0,3
62,10,4
25,3,3
28,0,4
57,0,4
19,0,2
45,0,3
31,0,2
33,0,4
37,0,5
33,0,4
61,0,3
0,0,2
36,0,2
29,0,3
20,0,3
20,0,2
31,2,2
61,0,3
25,7,3
25,0,3
50,0,3
32,20,4
19,1,5
41,5,4
25,1,3
71,0,3
28,0,3
25,1,3
0,30,1
41,0,5
0,0,2
33,0,4
41,0,2
24,5,3
24,30,3
29,0,3
63,4,5
0,1,1
39,0,3
21,0,3
56,0,4
34,20,4
49,0,3
21,1,3
35,0,3
21,0,3
69,2,5
41,0,3
22,0,2
40,0,2
58,0,3
20,0,3
64,1,3
26,1,3
50,10,3
29,0,5
28,0,3
23,0,3
43,3,3
0,1,1
28,0,3
21,0,3
23,0,2
44,2,1
35,0,3
84,0,3
0,0,2
33,0,5
23,0,4
26,0,2
38,7,2
25,0,4
39,10,3
22,3,2
41,0,3
33,0,2
30,40,4
43,4,2
19,0,2
21,0,3
22,0,3
31,2,3
25,0,3
46,0,5
74,2,4
28,0,3
58,2,5
49,2,4
23,0,3
0,0,1
20,6,4
35,0,4
28,0,3
57,0,5
22,0,3
35,14,3
47,0,3
28,35,2
51,0,2
43,0,3
37,0,3
0,22,2
100,0,1
19,10,3
67,0,3
43,2,3
0,8,1
0,0,1
57,20,1
38,0,4
0,0,1
23,0,5
55,15,3
0,3,1
61,3,4
0,1,1
23,0,4
25,3,4
24,0,3
22,0,2
0,0,2
33,1,2
43,2,4
24,0,3
54,0,5
28,0,2
28,1,4
50,0,3
26,0,3
74,30,5
0,0,2
60,0,2
0,4,2
44,0,3
36,1,3
80,0,5
61,0,4
53,0,3
24,12,3
25,0,4
0,0,1
19,2,2
32,0,5
48,1,5
62,0,5
24,10,5
61,0,3
33,2,3
60,1,4
48,0,3
28,5,3
0,28,2
26,0,3
0,3,1
27,0,4
28,3,4
51,0,4
28,1,4
38,0,5
52,0,3
23,0,3
0,0,2
23,15,3
66,2,5
67,2,3
0,0,1
35,6,2
55,4,4
19,0,2
47,0,4
0,21,2
73,0,3
37,0,3
59,0,5
33,5,3
64,0,4
36,5,4
0,1,2
51,20,3
30,0,4
31,1,4
39,3,3
27,0,3
30,0,4
52,3,3
23,3,3
0,4,2
43,1,5
29,1,2
24,10,4
25,40,3
27,0,4
35,0,2
0,4,1
32,3,2
0,0,1
36,2,3
30,14,3
27,15,3
0,0,1
72,1,3
54,0,4
27,5,3
66,0,3
0,2,1
68,0,5
31,0,3
0,4,1
0,0,5
20,12,3
67,0,2
30,2,4
24,0,2
44,0,2
0,1,1
56,10,3
52,0,2
62,0,4
25,0,4
38,0,3
46,0,3
19,3,2
0,0,1
27,0,3
0,0,1
42,0,3
33,5,5
79,0,4
0,5,2
60,14,3
0,0,1
25,20,4
24,0,4
26,2,3
48,0,3
22,1,3
22,3,4
66,0,4
27,42,4
49,0,3
23,0,2
0,0,3
29,0,4
28,0,3
0,1,2
29,50,3
33,0,3
56,0,3
0,8,2
25,3,3
26,0,4
26,0,4
39,6,2
0,2,1
0,0,2
19,15,3
21,0,4
28,0,3
56,0,2
26,13,4
21,12,3
57,0,3
22,5,3
31,3,5
24,5,3
72,0,4
19,5,2
23,2,3
39,0,3
27,3,3
27,1,4
22,1,2
0,0,2
0,7,1
0,2,2
0,1,2
26,1,2
0,0,1
37,0,4
59,8,3
33,8,3
21,0,2
54,0,3
0,15,1
35,0,1
0,1,2
21,3,3
32,0,3
38,0,5
24,0,2
35,4,4
69,0,2
28,0,3
